uniqid,d11,polintr,qb1,qb3_1,qb3_2,qb3_3,qb3_4,qb3_5,qb3_6,qb3_7,d7r,d9b,d10,d15a,d15b,d25,d63,d1,p1,p2,p3,region_denmark
110005573,71,Not at all,Fairly important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Divorced or separated,"DEN:Upper secondary (in Danish; stx, hhx, htx, hf)",Man,"Retired, unable to work","Middle management, etc.",Large town,The middle class of society,9,16 Sep 21,13 - 16 h,2099,DK05 - Nordjylland
110005574,23,Medium,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Single,DEN:Bachelor or equivalent,Man,Student,"Unskilled manual worker, etc.",Large town,The middle class of society,6,16 Sep 21,17 - 19 h,2784,DK05 - Nordjylland
110005575,53,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Short cycle tertiary,Woman,"Unskilled manual worker, etc.",Inap. (not 1 to 4 in d15a),Rural area or village,The middle class of society,8,17 Sep 21,13 - 16 h,1738,DK02 - Sjaelland
110005576,70,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,(Re)Married,DEN:Short cycle tertiary,Man,"Retired, unable to work","Middle management, etc.",Rural area or village,The middle class of society,8,17 Sep 21,13 - 16 h,2759,DK02 - Sjaelland
110005577,71,Medium,Fairly important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,(Re)Married,DEN:Short cycle tertiary,Woman,"Employed position, service job",Inap. (not 1 to 4 in d15a),Small/middle town,The working class of society,5,17 Sep 21,8 - 12 h,1768,DK01 - Hovedstaden
110005578,66,Medium,Very important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,(Re)Married,DEN:Diploma Degree,Woman,"Retired, unable to work",Skilled manual worker,Small/middle town,The working class of society,5,17 Sep 21,8 - 12 h,3415,DK05 - Nordjylland
110005579,85,Medium,Not at all important,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,(Re)Married,DEN:Short cycle tertiary,Man,"Retired, unable to work",Skilled manual worker,Rural area or village,The working class of society,3,17 Sep 21,8 - 12 h,2578,DK05 - Nordjylland
110005580,60,Strong,Fairly important,Not mentioned,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",The difficulty of learning new digital skills in order to take an active part in society (e.g. working or ...),Not mentioned,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",The difficulty of disconnecting and finding a good online/offline life balance,Not mentioned,Single living with a partner,DEN:Short cycle tertiary,Man,Skilled manual worker,Inap. (not 1 to 4 in d15a),Rural area or village,The working class of society,6,17 Sep 21,8 - 12 h,2376,DK05 - Nordjylland
110005581,64,Medium,Very important,Use of personal data and information by companies or public administrations,"Cyber-attacks and cybercrime such as theft or abuse of personal data, ransomware (malicious software) or phishing",Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Single living with a partner,DEN:Master or equivalent,Man,"Retired, unable to work","Employed professional (employed doctor, etc.)",Rural area or village,The middle class of society,4,17 Sep 21,13 - 16 h,3461,DK05 - Nordjylland
110005582,77,Not at all,Not at all important,Not mentioned,Not mentioned,Not mentioned,The safety and well-being of children,"The difficulty some people have accessing the online world (e.g. persons with disabilities, elderly people, those ...)",Not mentioned,Not mentioned,Widow,DEN:Primary school 8-11 years,Woman,"Retired, unable to work",Skilled manual worker,Large town,The lower middle class of society,4,17 Sep 21,13 - 16 h,2248,DK03 - Syddanmark
